frame,labels,scores,boxes
703,"['truck', 'car', 'truck', 'truck']","[0.9655965566635132, 0.9483861327171326, 0.9167507290840149, 0.9663591384887695]","[[1021, 230, 1431, 780], [7, 352, 64, 407], [85, 343, 256, 447], [65, 249, 244, 366]]"
704,"['truck', 'car', 'truck']","[0.9309818744659424, 0.9567335844039917, 0.9661089181900024]","[[88, 343, 265, 450], [7, 352, 67, 408], [65, 248, 256, 363]]"
705,"['truck', 'car', 'car', 'truck']","[0.9121410250663757, 0.8369422554969788, 0.9667545557022095, 0.9665791392326355]","[[92, 342, 277, 453], [92, 343, 277, 452], [6, 351, 69, 409], [70, 243, 264, 364]]"
706,"['truck', 'car', 'car']","[0.9652373790740967, 0.9759912490844727, 0.9741181135177612]","[[76, 245, 274, 365], [97, 343, 286, 454], [7, 351, 67, 411]]"
707,"['truck', 'car', 'truck']","[0.9105840921401978, 0.9722063541412354, 0.9590979814529419]","[[105, 341, 294, 455], [7, 349, 68, 410], [80, 240, 284, 367]]"
708,"['car', 'car', 'truck', 'truck']","[0.7956333160400391, 0.9756814241409302, 0.8812164664268494, 0.9625338912010193]","[[110, 341, 310, 457], [7, 349, 68, 412], [109, 340, 310, 457], [84, 238, 290, 368]]"
709,"['car', 'car', 'truck']","[0.9548930525779724, 0.9808246493339539, 0.969749391078949]","[[114, 341, 317, 460], [7, 349, 69, 413], [87, 231, 302, 370]]"
710,"['truck', 'car', 'car']","[0.9729806184768677, 0.9785455465316772, 0.9784759283065796]","[[91, 228, 312, 370], [120, 341, 322, 462], [7, 349, 73, 416]]"
711,"['truck', 'car', 'car']","[0.973896861076355, 0.977331280708313, 0.9829014539718628]","[[95, 226, 324, 375], [124, 342, 333, 465], [8, 351, 75, 417]]"
712,"['car', 'car', 'truck']","[0.9385313987731934, 0.9810460209846497, 0.9685210585594177]","[[131, 341, 345, 468], [8, 350, 78, 417], [99, 222, 337, 379]]"
713,"['truck', 'car', 'car', 'truck']","[0.7937780022621155, 0.9490944743156433, 0.9801608324050903, 0.9704502820968628]","[[135, 340, 359, 470], [135, 342, 359, 470], [9, 351, 81, 418], [106, 220, 350, 376]]"
714,"['truck', 'car', 'truck', 'truck']","[0.9351259469985962, 0.9782021641731262, 0.7950887084007263, 0.8860371112823486]","[[113, 219, 370, 474], [8, 351, 84, 417], [145, 341, 370, 474], [111, 219, 365, 380]]"
715,"['car', 'truck', 'car', 'truck']","[0.9786805510520935, 0.8474912643432617, 0.8962716460227966, 0.9663521647453308]","[[8, 352, 89, 417], [152, 340, 383, 480], [152, 342, 383, 479], [118, 223, 380, 379]]"
716,"['truck', 'car', 'car', 'truck']","[0.8194255828857422, 0.9763844609260559, 0.9027203321456909, 0.9646355509757996]","[[161, 341, 399, 482], [7, 345, 94, 418], [161, 341, 399, 482], [124, 221, 397, 377]]"
717,"['car', 'car', 'truck']","[0.9044998288154602, 0.9771320819854736, 0.9593795537948608]","[[167, 340, 423, 485], [9, 350, 100, 420], [130, 221, 409, 374]]"
718,"['truck', 'car', 'car']","[0.9681577086448669, 0.9797182679176331, 0.9758002161979675]","[[136, 212, 423, 378], [175, 339, 439, 488], [9, 351, 101, 420]]"
719,"['truck', 'car', 'car', 'car']","[0.9731363654136658, 0.9792970418930054, 0.8072186708450317, 0.978685200214386]","[[144, 219, 438, 381], [184, 340, 462, 494], [7, 335, 47, 373], [10, 351, 100, 421]]"
720,"['car', 'car', 'car', 'truck']","[0.9778793454170227, 0.838969349861145, 0.9584757089614868, 0.9674525856971741]","[[10, 350, 98, 423], [7, 334, 52, 376], [193, 337, 482, 496], [151, 217, 456, 376]]"
