Iteration;Confidence Score;x_min;y_min;x_max;y_max;Label
1030;0.46004632;9;65;1426;1007;bus
1044;0.4581063;214;65;1430;1017;bus
1045;0.45277786;253;66;1431;1018;bus
1051;0.4629586;197;311;369;407;car
1053;0.48584363;214;305;401;411;car
1054;0.45350388;226;305;418;410;car truck
1056;0.46915543;251;304;456;411;car
1057;0.46684557;263;304;472;412;car
1058;0.47073665;276;304;492;416;car
1059;0.5065304;290;303;516;419;car
1060;0.48456302;304;303;539;418;car
1061;0.48669744;319;303;564;426;car
1062;0.5114726;335;303;592;428;car
1063;0.48907647;352;302;618;431;car
1064;0.4797474;370;305;649;436;car
1065;0.48169762;390;303;680;440;car
1066;0.47450942;409;303;715;443;car
1067;0.48980853;431;303;751;447;car
1068;0.49169996;455;303;788;452;car
1069;0.46684557;479;303;823;458;car
1070;0.45423004;505;303;868;463;car
1071;0.47463113;536;305;909;468;car
1072;0.48553872;561;305;955;475;car
1073;0.47037166;594;307;997;483;car
1075;0.46587342;661;310;1095;498;car
1077;0.4920661;738;318;1200;517;car
1079;0.4571367;828;323;1302;537;car
1081;0.47657964;922;332;1400;560;car
1082;0.45956123;975;338;1433;573;car
1083;0.45326185;1028;344;1432;581;car
1084;0.49331707;1082;351;1434;575;car
1085;0.4508429;1138;363;1433;567;car
1088;0.45326185;1300;391;1433;580;car
1130;0.45423004;1327;300;1431;385;car
1158;0.4649016;123;349;334;481;car
1160;0.4559252;154;351;375;492;car
1161;0.49066275;163;350;429;497;car
1162;0.4873074;177;350;431;503;car
1163;0.48133188;188;351;450;508;car
1164;0.46344426;203;355;481;515;car
1165;0.49493426;218;353;514;524;car
1166;0.5162296;234;352;548;532;car
1167;0.5117776;253;350;586;542;car
1168;0.5165954;273;351;626;551;car
1169;0.53266823;294;351;672;562;car
1170;0.49301195;316;354;718;574;car
1171;0.4860266;341;355;771;587;car
1172;0.5090932;371;355;827;600;car
1173;0.47584885;402;359;883;616;car
1174;0.4696419;437;363;950;631;car
1175;0.47377896;476;366;1019;651;car
1176;0.52378577;518;368;1094;674;car
1178;0.4726835;610;378;1226;711;wheel
1179;0.4627158;673;386;1299;733;wheel
1180;0.4513265;728;396;1382;751;wheel
1181;0.47450942;809;439;1415;776;wheel
1545;0.47317034;777;199;1104;329;truck
1547;0.47256175;744;197;1066;324;truck
1550;0.45883366;689;194;1020;320;truck
1551;0.4513265;672;192;1003;318;truck
1552;0.47901624;658;193;985;317;truck
1553;0.4685475;640;194;970;315;truck
1554;0.47511825;631;194;946;315;truck
1556;0.45205212;603;193;914;312;truck
1559;0.48425815;572;193;872;311;truck
1563;0.45859116;510;195;797;309;truck
1564;0.51391244;507;195;781;312;truck
1565;0.49572763;507;196;763;312;truck
1567;0.46684557;486;196;742;312;truck
1569;0.52561235;471;197;730;311;truck
1570;0.5185462;460;198;689;311;truck
1571;0.45326185;451;197;669;311;truck
1572;0.46368712;442;196;664;311;truck
